source_file,extraction_status,A_basic_context_identifiers.branch_location,A_basic_context_identifiers.conversation_summary,A_basic_context_identifiers.insurer_name,B_call_type_flow.call_flow_type,B_call_type_flow.call_outcome,B_call_type_flow.call_type_description,B_call_type_flow.customer_urgency,B_call_type_flow.decision_points,C_time_feasibility.branch_hours_constraints,C_time_feasibility.customer_stated_timing_need,C_time_feasibility.customer_time_need_category,C_time_feasibility.customer_timing_anxiety,C_time_feasibility.infeasibility_reasons,C_time_feasibility.request_feasible,C_time_feasibility.stranded_risk_language,D_pickup_delivery_access.agent_said_branch_discretion,D_pickup_delivery_access.agent_said_delivery_not_guaranteed,D_pickup_delivery_access.agent_said_pickup_not_guaranteed,D_pickup_delivery_access.customer_logistics_anxiety,D_pickup_delivery_access.customer_logistics_confusion,D_pickup_delivery_access.delivery_requested,D_pickup_delivery_access.instructed_to_call_branch,D_pickup_delivery_access.option_5_instruction_used,D_pickup_delivery_access.pickup_requested,D_pickup_delivery_access.self_pickup_only,E_fleet_vehicle_availability.agent_mentioned_class_not_guaranteed,E_fleet_vehicle_availability.agent_mentioned_inventory_uncertainty,E_fleet_vehicle_availability.customer_vehicle_anxiety,E_fleet_vehicle_availability.hard_constraint_details,E_fleet_vehicle_availability.hard_constraint_exists,E_fleet_vehicle_availability.hard_constraint_type,E_fleet_vehicle_availability.vehicle_class_category,E_fleet_vehicle_availability.vehicle_class_requested,F_insurance_coverage_money.coverage_cap_amount,F_insurance_coverage_money.coverage_explained_clearly,F_insurance_coverage_money.coverage_partial_or_capped,F_insurance_coverage_money.coverage_understood_by_customer,F_insurance_coverage_money.customer_changed_plans_due_to_cost,F_insurance_coverage_money.customer_cost_worry,F_insurance_coverage_money.deposit_amount,F_insurance_coverage_money.deposit_mentioned,G_branch_reliability_alternatives.agent_attempted_branch_contact,G_branch_reliability_alternatives.agent_transferred_to_branch,G_branch_reliability_alternatives.branch_answered,G_branch_reliability_alternatives.branch_unreachable,G_branch_reliability_alternatives.competitor_mentioned,G_branch_reliability_alternatives.competitor_name,G_branch_reliability_alternatives.location_avoidance_requested,G_branch_reliability_alternatives.prior_bad_branch_experience_mentioned,H_customer_comprehension_cognitive_load.confusion_expressed,H_customer_comprehension_cognitive_load.confusion_topics,H_customer_comprehension_cognitive_load.familiar_with_ir_process,H_customer_comprehension_cognitive_load.familiarity_level,H_customer_comprehension_cognitive_load.repeated_instructions,H_customer_comprehension_cognitive_load.took_notes,I_emotional_psychological_signals.distress_signals_present,I_emotional_psychological_signals.emotional_state_end,I_emotional_psychological_signals.emotional_state_start,I_emotional_psychological_signals.fear_signals_present,I_emotional_psychological_signals.safety_concerns_present,I_emotional_psychological_signals.trauma_context_present,J_agent_behavior_clarity.agent_acknowledged_concerns,J_agent_behavior_clarity.agent_expressed_empathy,J_agent_behavior_clarity.agent_polite_professional,J_agent_behavior_clarity.agent_summarized_next_steps,J_agent_behavior_clarity.next_steps_clarity,K_outcome_customer_effort.cancellation_during_call,K_outcome_customer_effort.customer_actions_count,K_outcome_customer_effort.customer_post_call_actions,K_outcome_customer_effort.effort_burden,K_outcome_customer_effort.effort_burden_explanation,K_outcome_customer_effort.reservation_status_end
audiofile-686587696034_extracted,complete,"Boardman, Ohio, 7735 Market Street","The call is initiated by Zariah, a HERTZ representative, to discuss a rental car authorized by State Farm Insurance for a customer, implied as Sheena. The rental is for the HERTZ location in Boardman, Ohio. Sheena needs a pickup service from her home, but it is not guaranteed by the agent. The rental is needed on the same day with the earliest available times at 10:00, 10:30, or 11:00 AM, with Sheena choosing 11:00 AM. The conversation covers rental details, customer's email, home address, damaged vehicle information, and the repair shop. The call reveals a personal distress situation as Sheena mentions walking to a police station due to domestic violence. The agent attempts to connect her with the local HERTZ branch to finalize arrangements, advising about presenting ID and payment upon car pick-up and the uncertain pickup service.",State Farm Insurance,high_constraint_safety_sensitive,parked,high_constraint_safety_sensitive,urgent,coordinating pickup services|confirming rental times|managing the transfer to the local branch,,"Same day rental for October or November 1st, 2025, with the earliest time at 11:00 AM.",immediate_same_day,true,,true,false,true,false,true,true,false,false,true,true,true,false,false,false,false,safety concerns due to the personal distress situation.,true,safety,,,,false,false,,false,false,,true,true,false,true,false,false,,false,false,false,,,,false,false,true,distressed,calm,false,true,true,true,true,true,true,partial,false,2,call the branch|press option five to discuss pickup logistics,medium,"The customer has to resolve the pickup uncertainty and manage safety concerns, adding complexity to the situation.",provisional
audiofile-686587700159_extracted,complete,"Greensboro, North Carolina, 1619 Westover Terrace","The customer contacted HERTZ to discuss a rental authorized by State Farm Insurance following a car accident. The customer expressed confusion about how the process works, wanting the rental car delivered to an auto shop where their damaged car could be picked up. The agent explained that delivery and pickup services are not guaranteed and are dependent on the HERTZ location.",State Farm Insurance,scheduled_future,completed,scheduled_future,flexible,delivery service options|understanding the process|coordinating with the local branch|insurance coverage timelines,"Agent could only place it for times between 10:00, 10:30, or 11:00.",,unsure,true,,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false,"Customer expressed difficulty due to being alone, without anyone to assist in transportation.",true,none,,,,true,true,true,true,true,,false,false,false,,false,false,,false,false,true,delivery process|insurance timelines,false,first_time,true,true,true,frustrated,anxious,false,true,false,true,true,true,true,clear,false,4,Contact the auto shop|Confirm dates|Call the HERTZ location|Finalize rental details,high,"High, due to multiple steps required to coordinate between the repair shop, rental availability, and insurance constraints.",parked
audiofile-686587701812_extracted,complete,"836 Goodman Road East, Suite B, South Haven, MS",The call was initiated by Lucian from Hertz to inform Yvette Brown that State Farm had made a reservation for a rental car at a specific location. Yvette Brown mentioned she would take the rental car only after her vehicle goes to the shop. The call was mostly focused on confirming details and providing a callback number for further assistance. No specific time for when the car would be picked up was decided.,State Farm,scheduled_future,completed,Scheduled_future,flexible,confirming the callback number|establishing the origin of the call,,,unsure,false,,true,false,false,false,false,false,true,false,true,false,false,true,false,false,false,,false,,,,,false,false,false,false,false,,false,false,false,,false,false,,false,false,true,origin of the call|contact number,true,some_experience,true,false,false,calm,stressed,false,false,false,false,false,true,true,clear,false,1,Call the provided contact number for further rental arrangements.,medium,"The customer needs to follow up with a call for further details, involving moderate effort to ensure timing aligns with her needs.",provisional
audiofile-686587704804_extracted,complete,"Townsend, Maryland, 1763 East Joppa Road","The agent, Zariah from Hertz, contacted Brian Bentz regarding an authorized rental by State Farm Insurance. Brian clarified his availability, stating he could not reach the Hertz location until Monday due to a wedding in Western Maryland. The branch's operating hours and scheduling were discussed, and arrangements were made for Brian to pick up the rental at 9 AM on Monday. Brian confirmed his email, address, and details about his damaged vehicle. The agent informed him to call the location before arrival and ensured no further questions were left unanswered.",State Farm Insurance,straight_through,completed,Overall call type,flexible,scheduling the pickup time|verifying information,Branch open from 9 AM to 4 PM,Monday at 9 AM,scheduled,false,,true,false,false,false,false,false,false,false,true,true,true,true,false,false,false,,false,,,,,,false,,false,false,,false,false,false,,false,false,,false,false,false,,true,,false,false,false,calm,calm,false,false,false,true,true,true,true,clear,false,3,Go to the Hertz location by 9 AM on Monday|Call the branch within the hour in advance and select option 5|Present a valid driver's license and payment card,low,as all necessary information and steps were clearly explained and scheduled conveniently for the customer.,finalized
audiofile-686587709127_extracted,complete,"Westerly, specifically 20 Westerly Bradford Road","Lori, the wife of Thomas Maselli, communicated with Zariah from HERTZ regarding a rental car authorized by American Commerce Insurance. The conversation involved confirming details about the rental pickup, personal contact information, vehicle damage, and the repair shop. Lori expressed her intent to reach the HERTZ location by noon. The call ended with Lori confirming her understanding and Zariah reminding her to call the branch.",American Commerce Insurance,straight_through,completed,Same_day_urgent,urgent,checks on email confirmation|reservation timing,"Reservation set an hour in advance, around 10:42.",Plan to arrive by noon.,immediate_same_day,false,,true,false,true,false,false,false,false,false,true,true,false,true,false,false,false,,false,none,,,,true,false,true,false,false,,false,false,false,,false,false,,false,false,false,,true,some_experience,false,false,false,calm,calm,false,false,false,true,true,true,true,clear,false,3,Arrive at the HERTZ location by noon.|Present valid driver's license and payment card.|Call the branch an hour in advance selecting option five.,low,as the steps were clearly outlined and the customer was familiar with the process,finalized
audiofile-686587716378_extracted,complete,"Lebanon, New Jersey","The call between Zariah from HERTZ and the customer, Jessica, involved arranging a rental car authorized by State Farm Insurance due to a vehicle repair need. Jessica preferred delivery to the auto body shop instead of pickup. Zariah explained that both services are at the HERTZ location's discretion and not guaranteed, discussing key details like service date and instructions for confirming with the local branch.",State Farm Insurance,same_day_urgent,completed,Same_day_urgent,flexible,confirming the type of service required (pickup vs. delivery)|timing of service,,Monday at around 2:30 PM,scheduled,true,,true,true,true,true,true,true,true,true,true,true,true,false,false,false,false,,false,,,,,false,false,false,false,false,,false,false,false,,false,true,Enterprise,false,false,true,confirming pickup or delivery process|calling ahead|procedure after pressing option five,false,first_time,true,true,true,anxious,calm,false,true,false,true,true,true,true,clear,false,4,Call the local HERTZ branch one hour before the scheduled rental time.|Select option five during the call.|Confirm whether delivery service will be available.|Have a valid driver’s license and card ready the day of the rental.,medium,"Medium, due to multiple follow-up actions, potential waiting times for the branch's decision, and navigating an unfamiliar process.",provisional
audiofile-686587720535_extracted,complete,"Jersey City, New Jersey, 49 Mall Drive West","The call involves a representative from HERTZ, Zariah, and a customer, Esther Haisley, discussing a rental authorized by Progressive Insurance. It covers the details of the rental pickup location, the required items for the rental, and setting up a rental appointment. Esther can pick up the rental herself and eventually decides on a non-urgent pickup for the upcoming Monday.",Progressive Insurance,scheduled_future,completed,Scheduled_future,flexible,date and time for the rental pickup|required items to bring,"Monday through Friday from 8 to 5, Saturday from 9 to 12",preferred Monday for personal convenience and financial reasons,scheduled,false,,true,false,false,false,false,false,true,false,true,true,true,true,false,false,false,,false,,,Not specified; implied to be a standard-class vehicle replacement,,false,false,false,false,true,$50 to $200,true,false,false,,false,false,,false,false,true,location details,true,some_experience,true,false,false,stressed,calm,false,false,false,false,false,true,true,clear,false,4,Bring a valid driver's license.|Present a credit or debit card.|Pay a security deposit ranging between $50 and $200.|Call the HERTZ location and select option number five.,low,The call involved clear instructions and straightforward scheduling without complications.,finalized
audiofile-686587730126_extracted,complete,"Macon, Georgia, 159 Tom Hill Senior Boulevard","Zariah from HERTZ contacts LaKendra regarding an authorized rental by State Farm Insurance. The initial location in Macon is closed on the weekend. The agent offers to find an alternative open location, but the nearest one available is in Conyers, Georgia, which is too far for pickup service. Ultimately, the reservation is scheduled for the original Macon location on Monday at 9 a.m. LaKendra decides to have someone drive her to the location instead of using the pickup service. Important information such as email, home address, phone number, and details about the damaged vehicle are confirmed. Final instructions include calling the location in advance and ensuring the presentation of a valid driver’s license and credit or debit card.",State Farm Insurance,scheduled_future,completed,scheduled_future,flexible,Decision between finding an open branch or waiting until Monday.|Decision on whether to use pickup service or get a ride to the location.,The preferred branch is closed on weekends; hours for Monday mentioned as starting at 9 a.m.,"Would need the rental to possibly start during the weekend, but agreed to Monday at 9 a.m.",scheduled,false,,true,false,false,false,true,true,true,,true,false,true,,false,false,false,,false,,,,,,,,false,false,,false,false,false,,false,false,,false,false,false,,true,experienced,false,false,false,calm,calm,false,false,false,true,true,true,true,clear,false,3,Arrange transport to the HERTZ location on Monday.|Ensure to bring a valid driver's license and credit/debit card.|Call the HERTZ location one hour in advance.,medium,"Medium, because although there was no immediate resolution and she had to wait until Monday, she needed to arrange transport and call the location in advance.",finalized
audiofile-686587752160_extracted,complete,"6 Marlton Pike Route 70, Cherry Hill, New Jersey 08034","The agent, LaToya from HERTZ, called Ariel Manning regarding a car rental covered by State Farm insurance following a vehicle incident involving Ariel's mother's car. The call primarily involved finalizing a rental car reservation necessary for the day because Ariel's vehicle was undrivable. Ariel expressed difficulty in reaching the Cherry Hill branch and explored options of accessing another branch or self-pickup, given the time constraints. The agent explained that the branches would close at noon, and due to timing, the scheduled reservation could only proceed on Monday. Miscommunication about branch operations was cleared up, and Ariel was advised to call a specific branch number and choose option 5 for further assistance. The conversation ended with the reservation finalized for future use.",State Farm,time_infeasible,completed,Time_infeasible,urgent,Confirmation of insurance and driver's status.|Checking branch operation hours and availability.|Determining crossing over for pickup or delivery.|Confirming the authenticity of recommended branches.|Finalization of the rental agreement.,Branches close at noon.,"Same day, urgent due to the vehicle being undrivable.",immediate_same_day,true,,false,true,true,true,true,true,true,,true,true,,,false,false,false,implied urgency due to an undrivable vehicle.,true,none,suv_regular,SUV,,true,false,true,false,false,,false,false,false,,false,false,,false,false,true,branch operations|closing times,true,some_experience,false,false,false,calm,anxious,false,false,false,true,true,true,true,clear,false,2,Contact the branch using the provided number and follow the prompt.|Present a valid driver’s license and payment card at pickup.,medium,"Although the plan was finalized, Ariel had actions to perform independently, partly due to timing failures.",finalized
audiofile-686587755404_extracted,complete,"901 Convention Center Boulevard, New Orleans, downtown Louisiana","Shandora Brown received a call from Andrew at Hertz regarding an insurance-authorized vehicle rental arranged by State Farm. She needed the rental vehicle as soon as possible due to her car being undrivable and at a collision center. The agent discussed pickup timing and availability, with the rental scheduled for 11:00 AM. The agent explained that pickup or delivery services might not be available and advised her to call the local Hertz branch for confirmation. The reservation was successfully updated with instructions on how to finalize the pickup.",State Farm,,completed,Same_day_urgent,urgent,verifying the timing for pickup|possibility of a shuttle or pickup service|instructions to call the branch directly,"The branch closes at 12 PM, with advised pickup between 10 and 11 AM.","As soon as possible, ideally before the Hertz location closed.",immediate_same_day,true,,true,false,true,true,true,true,true,false,true,true,true,true,true,true,false,,false,,compact,Compact size vehicle.,,false,false,false,false,false,,true,false,false,,false,false,,false,false,true,pickup and calling the branch,true,some_experience,true,false,true,calm,calm,false,false,false,true,true,true,true,clear,false,2,Call the branch and select option 5.|Bring a driver's license and debit or credit card to the pickup.,medium,"Effort was required to manage tight timing, arrange possible transport due to the lack of a guaranteed shuttle, and follow up with the branch directly.",finalized
audiofile-686587761888_extracted,complete,"Thousand Oaks, California","The conversation involves Andrew from Hertz and Tanishia Evans about a rental car arrangement. State Farm authorized a rental for Ms. Evans at the Thousand Oaks location, focusing on confirming the pickup time for the rental. Ms. Evans indicated a scheduled time between 10 and 10:30 am, mentioned returning a current rental to Hertz, and inquired about continuing with the existing rental if possible. Contact information and repair shop location were confirmed, and vehicle pickup instructions were provided.",State Farm,straight_through,completed,straight_through,flexible,,,Between 10 and 10:30 am,scheduled,false,,true,false,false,false,false,false,false,false,true,true,false,true,false,false,false,,false,,,,,false,false,true,false,false,,true,false,false,,false,false,,false,false,false,,true,some_experience,false,false,false,calm,calm,false,false,false,false,false,true,true,clear,false,2,Call an hour before arriving at the location.|Present valid driver's license and payment method.,low,,finalized
